section,category,word,sentence
Attitude Markers,self_mentions,I,"I use them. Unfortunately, x claims, argues...etc. I don’t know about Arabic academic writing."
Attitude Markers,self_mentions,I,I use a lot of attitude markers in my writing to express different attitudes.
Attitude Markers,self_mentions,I,"Yes, I use them in English Academic writing and we have attitude markers in Arabic like “as well as, as a result, and consequently."
Attitude Markers,self_mentions,we,"Yes, I use them in English Academic writing and we have attitude markers in Arabic like “as well as, as a result, and consequently."
Attitude Markers,self_mentions,I,I do not know about attitude markers.
Attitude Markers,self_mentions,I,"What do you think of using “first person pronouns” or “self-mention” such as ""I"" or ""we"" in academic writing?"
Attitude Markers,self_mentions,you,"What do you think of using “first person pronouns” or “self-mention” such as ""I"" or ""we"" in academic writing?"
Attitude Markers,self_mentions,you,Do you think this is professional in Arabic academic discourse?
Attitude Markers,self_mentions,you,Is it fine to use them in English academic writing?
Attitude Markers,self_mentions,I,"This finding agrees with Hyland & Nelson (2002) remark that pledging one’s personal opinion in your results with a first person commitment is a risky strategy, and often novice writers lack the confidence to take."
Attitude Markers,self_mentions,your,"This finding agrees with Hyland & Nelson (2002) remark that pledging one’s personal opinion in your results with a first person commitment is a risky strategy, and often novice writers lack the confidence to take."
Self-Mention,self_mentions,this study,The present study has attempted to explore how Saudi postgraduate students of Applied Linguistics articulate stance when they critique a published article.
Self-Mention,self_mentions,this research,The contribution of this research lies in investigating stance taking strategies by postgraduate English users in a foreign language context.
Self-Mention,self_mentions,this study,"The conclusion this study has reached is that Saudi postgraduate students use the four components of stance, namely hedges, boosters, attitude markers, and self-mention although they are not explicitly trained on such strategies."
Self-Mention,self_mentions,The study,The study has proven that the selected linguistic resources to express stance by the participants require to be enhanced in order to conform with and emulate the conventions of stance articulation by expert academic writers.
Self-Mention,self_mentions,our emerging scholars,"Assisting our emerging scholars to achieve this ambitious goal necessitates taking practical actions by postgraduate programs planners, developers, and course instructors."
Problems in Presenting Authorial Stance,hedges,may,"EFL learners’ development of voice in academic writing: Lexical bundles, boosters/hedges and stance-taking strategies."
Problems in Presenting Authorial Stance,hedges,hedges,"EFL learners’ development of voice in academic writing: Lexical bundles, boosters/hedges and stance-taking strategies."
Problems in Presenting Authorial Stance,hedges,Indirectness,Indirectness in L1 and L2 academic writing.
Problems in Presenting Authorial Stance,hedges,Qualification,Qualification and Certainty in L1 and L2 Students’ Writing.
Problems in Presenting Authorial Stance,hedges,Certainty,Qualification and Certainty in L1 and L2 Students’ Writing.
Problems in Presenting Authorial Stance,hedges,modal verbs,A contrastive analysis of the use of modal verbs in the expression of epistemic stance in business management research articles in English and Spanish.
Problems in Presenting Authorial Stance,hedges,epistemic stance,A contrastive analysis of the use of modal verbs in the expression of epistemic stance in business management research articles in English and Spanish.
Problems in Presenting Authorial Stance,hedges,Hedging,Hedging in College Research Papers: Implications for Language Instruction.
Problems in Presenting Authorial Stance,boosters,boosters,"EFL learners’ development of voice in academic writing: Lexical bundles, boosters/hedges and stance-taking strategies."
Problems in Presenting Authorial Stance,attitude_markers,Evaluative,Development of Evaluative Stance and Voice in Postgraduate Academic Writing.
Problems in Presenting Authorial Stance,attitude_markers,Positive,"Thematic analysis. Journal of Positive Psychology, 12(3), 297–298."
Problems in Presenting Authorial Stance,attitude_markers,Appraising,Appraising research: Evaluation in academic writing.
Problems in Presenting Authorial Stance,attitude_markers,Evaluation,Appraising research: Evaluation in academic writing.
Problems in Presenting Authorial Stance,attitude_markers,Attitude,Attitude in undergraduate persuasive essays.
Problems in Presenting Authorial Stance,attitude_markers,Evaluation,The Language of Evaluation: Appraisal in English.
Problems in Presenting Authorial Stance,attitude_markers,Appraisal,The Language of Evaluation: Appraisal in English.
Problems in Presenting Authorial Stance,attitude_markers,Appraisal,The Language of Evaluation: The Appraisal Framework.
Problems in Presenting Authorial Stance,self_mentions,Authorial,Problems in Presenting Authorial Stance
Problems in Presenting Authorial Stance,self_mentions,Authorial,Authority and invisibility: authorial identity in academic writing Cite this paper Related papers Discursive Const ruct ion of Aut horial Voice in English Book Reviews: A Cont rast ive Analysis Authority and invisibility: authorial identity in academic wr.
Knowledge about L1 and FL Writing,self_mentions,AUTHORIAL SELF-MENTION,THE USE OF AUTHORIAL SELF-MENTION WORDS IN ACADEMIC WRITING.
CONCLUSION,boosters,clearly,This clearly indicates that the proposed model outperforms existing methods.
CONCLUSION,attitude_markers,importantly,"Importantly, the results suggest a significant improvement in efficiency."
CONCLUSION,attitude_markers,unfortunately,"Unfortunately, the current dataset does not allow for a deeper analysis of certain demographic groups."
CONCLUSION,self_mentions,we,We believe that future research should focus on expanding the dataset.
CONCLUSION,self_mentions,our,Our findings provide a strong foundation for further investigation.
